,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
1490,GTEX-13X6I-0011-R2b-SM-5PNWQ,GTEX,8.921,Normal Tissue,Brain,GTEX: Normal Tissue
1494,GTEX-13D11-1226-SM-5IFGA,GTEX,11.49,Normal Tissue,Uterus,GTEX: Normal Tissue
1496,GTEX-13OW8-2226-SM-5K7Z4,GTEX,11.47,Normal Tissue,Esophagus,GTEX: Normal Tissue
1497,GTEX-1313W-0011-R8a-SM-5DUVM,GTEX,8.976,Normal Tissue,Brain,GTEX: Normal Tissue
1499,GTEX-ZF28-0526-SM-4WKGW,GTEX,11.14,Normal Tissue,Muscle,GTEX: Normal Tissue
1502,GTEX-13D11-1426-SM-5K7Y9,GTEX,12.7,Normal Tissue,Artery,GTEX: Normal Tissue
1503,GTEX-12584-0011-R6a-SM-5NQ7C,GTEX,12.12,Normal Tissue,Brain,GTEX: Normal Tissue
1511,GTEX-X638-0426-SM-47JY2,GTEX,13.23,Normal Tissue,Nerve,GTEX: Normal Tissue
1513,GTEX-12ZZX-0011-R2a-SM-5EGLG,GTEX,11.35,Normal Tissue,Brain,GTEX: Normal Tissue
1517,GTEX-V955-1226-SM-4JBI9,GTEX,11.54,Normal Tissue,Esophagus,GTEX: Normal Tissue
1522,GTEX-X4XX-1026-SM-4QARO,GTEX,11.69,Normal Tissue,Lung,GTEX: Normal Tissue
1528,GTEX-13NYB-0011-R2a-SM-5MR3C,GTEX,9.384,Normal Tissue,Brain,GTEX: Normal Tissue
1531,GTEX-NPJ8-0326-SM-2D7VV,GTEX,12.16,Normal Tissue,Lung,GTEX: Normal Tissue
1532,GTEX-14ASI-3026-SM-5S2PN,GTEX,9.471,Normal Tissue,Brain,GTEX: Normal Tissue
1538,GTEX-13O3O-0826-SM-5K7WE,GTEX,11.54,Normal Tissue,Breast,GTEX: Normal Tissue
1539,GTEX-YFC4-1126-SM-5RQJN,GTEX,11.81,Normal Tissue,Lung,GTEX: Normal Tissue
1540,GTEX-OOBK-0008-SM-3NB27,GTEX,11.03,Cell Line,Cells,GTEX: Cell Line
1546,GTEX-11LCK-0826-SM-5PNYD,GTEX,12.79,Normal Tissue,Heart,GTEX: Normal Tissue
1549,GTEX-14AS3-0726-SM-5S2NY,GTEX,11.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
1551,GTEX-13X6J-0011-R8b-SM-5PNUA,GTEX,9.472,Normal Tissue,Brain,GTEX: Normal Tissue
1553,GTEX-11TUW-2226-SM-5EQL9,GTEX,11.47,Normal Tissue,Testis,GTEX: Normal Tissue
1557,GTEX-144FL-0226-SM-5Q5D4,GTEX,9.961,Normal Tissue,Adipose,GTEX: Normal Tissue
1559,GTEX-ZZ64-0226-SM-5E44X,GTEX,13.28,Normal Tissue,Esophagus,GTEX: Normal Tissue
1560,GTEX-XLM4-0426-SM-4AT54,GTEX,11.95,Normal Tissue,Artery,GTEX: Normal Tissue
1561,GTEX-13QIC-2326-SM-5LU5N,GTEX,12.44,Normal Tissue,Breast,GTEX: Normal Tissue
1564,GTEX-12WSN-0126-SM-5DUX5,GTEX,9.734,Normal Tissue,Spleen,GTEX: Normal Tissue
1566,GTEX-111VG-2526-SM-5GZXP,GTEX,13.6,Normal Tissue,Nerve,GTEX: Normal Tissue
1567,GTEX-131XG-1426-SM-5GCMO,GTEX,12.04,Normal Tissue,Pancreas,GTEX: Normal Tissue
1569,GTEX-14A5I-0005-SM-5N9FU,GTEX,8.531,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1571,GTEX-ZF28-0011-R11a-SM-4WWEI,GTEX,8.499,Normal Tissue,Brain,GTEX: Normal Tissue
1573,GTEX-OXRK-0526-SM-3NB2F,GTEX,12.74,Normal Tissue,Artery,GTEX: Normal Tissue
1576,GTEX-1211K-1426-SM-5FQTF,GTEX,11.7,Normal Tissue,Stomach,GTEX: Normal Tissue
1577,GTEX-Y8E5-0002-SM-57WD9,GTEX,8.872,Cell Line,Cells,GTEX: Cell Line
1582,GTEX-13X6I-1526-SM-5SIAC,GTEX,10.73,Normal Tissue,Adipose,GTEX: Normal Tissue
1584,GTEX-132QS-0226-SM-5IFFZ,GTEX,9.293,Normal Tissue,Spleen,GTEX: Normal Tissue
1587,GTEX-XXEK-2526-SM-4BRUR,GTEX,12.51,Normal Tissue,Nerve,GTEX: Normal Tissue
1589,GTEX-ZYW4-0326-SM-5E44Y,GTEX,12.74,Normal Tissue,Nerve,GTEX: Normal Tissue
1590,GTEX-139T8-0526-SM-5KLZL,GTEX,11.37,Normal Tissue,Muscle,GTEX: Normal Tissue
1591,GTEX-QDVJ-2126-SM-5S2U2,GTEX,11.77,Normal Tissue,Artery,GTEX: Normal Tissue
1596,GTEX-U3ZH-0126-SM-4DXUK,GTEX,9.315,Normal Tissue,Spleen,GTEX: Normal Tissue
1597,GTEX-145LT-0326-SM-5LUAD,GTEX,11.64,Normal Tissue,Lung,GTEX: Normal Tissue
1599,GTEX-Q2AG-0011-R4A-SM-2HMKA,GTEX,9.853,Normal Tissue,Brain,GTEX: Normal Tissue
1600,GTEX-ZF28-2926-SM-4WKG1,GTEX,10.31,Normal Tissue,Brain,GTEX: Normal Tissue
1601,GTEX-132AR-1926-SM-5EGK5,GTEX,12.26,Normal Tissue,Heart,GTEX: Normal Tissue
1602,GTEX-Y5V6-1926-SM-5IFIL,GTEX,9.084,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
1603,GTEX-11ONC-0126-SM-5PNW6,GTEX,11.77,Normal Tissue,Heart,GTEX: Normal Tissue
1605,GTEX-11TT1-2526-SM-5EGIB,GTEX,12.99,Normal Tissue,Skin,GTEX: Normal Tissue
1609,GTEX-ZQG8-0008-SM-4YCE7,GTEX,11.47,Cell Line,Cells,GTEX: Cell Line
1614,GTEX-ZA64-1526-SM-5CVMD,GTEX,9.901,Normal Tissue,Breast,GTEX: Normal Tissue
1616,GTEX-13G51-1826-SM-5KLZH,GTEX,13.58,Normal Tissue,Skin,GTEX: Normal Tissue
1622,GTEX-14DAR-0726-SM-5RQIA,GTEX,11.73,Normal Tissue,Esophagus,GTEX: Normal Tissue
1623,GTEX-147F3-1526-SM-5SIAK,GTEX,11.81,Normal Tissue,Vagina,GTEX: Normal Tissue
1633,GTEX-1314G-0126-SM-5LZUL,GTEX,12.01,Normal Tissue,Heart,GTEX: Normal Tissue
1634,GTEX-XXEK-0826-SM-4BRWG,GTEX,11.63,Normal Tissue,Stomach,GTEX: Normal Tissue
1637,GTEX-145MO-0726-SM-5NQB9,GTEX,11.09,Normal Tissue,Muscle,GTEX: Normal Tissue
1638,GTEX-REY6-0426-SM-2TF5G,GTEX,10.94,Normal Tissue,Lung,GTEX: Normal Tissue
1639,GTEX-P78B-0626-SM-2S1O5,GTEX,13.11,Normal Tissue,Nerve,GTEX: Normal Tissue
1641,GTEX-13D11-1526-SM-5J2NA,GTEX,13.81,Normal Tissue,Heart,GTEX: Normal Tissue
1643,GTEX-11P82-1326-SM-5HL62,GTEX,8.576,Normal Tissue,Breast,GTEX: Normal Tissue
1645,GTEX-145MO-2226-SM-5Q5BN,GTEX,11.93,Normal Tissue,Stomach,GTEX: Normal Tissue
1651,GTEX-QDVJ-0005-SM-2TC5X,GTEX,10.18,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1652,GTEX-ZVZQ-0011-R9a-SM-51MRH,GTEX,9.79,Normal Tissue,Brain,GTEX: Normal Tissue
1654,GTEX-X261-0011-R7A-SM-4E3JJ,GTEX,11.07,Normal Tissue,Brain,GTEX: Normal Tissue
1659,GTEX-XPT6-0008-SM-4B64Q,GTEX,11.88,Cell Line,Cells,GTEX: Cell Line
1660,GTEX-13FHP-1026-SM-5K7Y2,GTEX,11.01,Normal Tissue,Heart,GTEX: Normal Tissue
1661,GTEX-UPIC-1526-SM-4IHLU,GTEX,11.78,Normal Tissue,Uterus,GTEX: Normal Tissue
1664,GTEX-13O3O-1626-SM-5KM1O,GTEX,8.551,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
1665,GTEX-1497J-2726-SM-5SI9W,GTEX,13.32,Normal Tissue,Esophagus,GTEX: Normal Tissue
1666,GTEX-11P82-0626-SM-5PNYK,GTEX,11.32,Normal Tissue,Esophagus,GTEX: Normal Tissue
1670,GTEX-WFON-1026-SM-4LVMD,GTEX,12.21,Normal Tissue,Esophagus,GTEX: Normal Tissue
1672,GTEX-RU72-0726-SM-46MUW,GTEX,13.35,Normal Tissue,Esophagus,GTEX: Normal Tissue
1678,GTEX-11TT1-2326-SM-5GU6N,GTEX,8.982,Normal Tissue,Muscle,GTEX: Normal Tissue
1680,GTEX-QV31-1026-SM-4R1K3,GTEX,13.44,Normal Tissue,Prostate,GTEX: Normal Tissue
1681,GTEX-T6MO-0006-SM-32QOU,GTEX,6.489,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1683,GTEX-11XUK-0626-SM-5N9ES,GTEX,12.56,Normal Tissue,Pancreas,GTEX: Normal Tissue
1684,GTEX-ZDXO-0426-SM-4WKF6,GTEX,12.82,Normal Tissue,Heart,GTEX: Normal Tissue
1687,GTEX-T8EM-1226-SM-4DM5J,GTEX,12.28,Normal Tissue,Stomach,GTEX: Normal Tissue
1695,GTEX-11EMC-0126-SM-5EGKV,GTEX,11.73,Normal Tissue,Lung,GTEX: Normal Tissue
1696,GTEX-12WSM-0011-R1a-SM-5LZW6,GTEX,9.446,Normal Tissue,Brain,GTEX: Normal Tissue
1701,GTEX-11EM3-0426-SM-5N9BZ,GTEX,12.5,Normal Tissue,Heart,GTEX: Normal Tissue
1706,GTEX-11GSP-3226-SM-5986O,GTEX,10.55,Normal Tissue,Brain,GTEX: Normal Tissue
1712,GTEX-12ZZY-0626-SM-5EQ5T,GTEX,11.25,Normal Tissue,Muscle,GTEX: Normal Tissue
1715,GTEX-NPJ8-1526-SM-2D7VU,GTEX,11.08,Normal Tissue,Brain,GTEX: Normal Tissue
1719,GTEX-13NZB-2226-SM-5MR5B,GTEX,13.21,Normal Tissue,Artery,GTEX: Normal Tissue
1723,GTEX-ZYWO-0426-SM-5SI9A,GTEX,12.08,Normal Tissue,Artery,GTEX: Normal Tissue
1725,GTEX-13U4I-0226-SM-5SIB1,GTEX,10.96,Normal Tissue,Adipose,GTEX: Normal Tissue
1727,GTEX-T2IS-2026-SM-4DM6W,GTEX,11.33,Normal Tissue,Ovary,GTEX: Normal Tissue
1730,GTEX-1399T-0426-SM-5PNVJ,GTEX,11.1,Normal Tissue,Heart,GTEX: Normal Tissue
1731,GTEX-14A5H-3026-SM-5RQHV,GTEX,10.43,Normal Tissue,Pituitary,GTEX: Normal Tissue
1733,GTEX-WRHU-0826-SM-3MJFN,GTEX,11.51,Normal Tissue,Muscle,GTEX: Normal Tissue
1737,GTEX-13CZV-0011-R10b-SM-5LZYD,GTEX,9.572,Normal Tissue,Brain,GTEX: Normal Tissue
1739,GTEX-145MI-0011-R7b-SM-5Q5AZ,GTEX,8.607,Normal Tissue,Brain,GTEX: Normal Tissue
1740,GTEX-XMK1-2226-SM-4B673,GTEX,10.59,Normal Tissue,Adipose,GTEX: Normal Tissue
1745,GTEX-145MO-0426-SM-5QGP6,GTEX,9.869,Normal Tissue,Adipose,GTEX: Normal Tissue
1752,GTEX-11H98-0326-SM-5HL4S,GTEX,10.65,Normal Tissue,Muscle,GTEX: Normal Tissue
1754,GTEX-QVUS-0011-R3A-SM-3GAFD,GTEX,9.529,Normal Tissue,Brain,GTEX: Normal Tissue
1755,GTEX-R55G-1226-SM-48FDC,GTEX,13.28,Normal Tissue,Colon,GTEX: Normal Tissue
1758,GTEX-Y3IK-2526-SM-4WWDM,GTEX,10.01,Normal Tissue,Adipose,GTEX: Normal Tissue
1759,GTEX-ZTPG-1626-SM-5DUX2,GTEX,13.38,Normal Tissue,Esophagus,GTEX: Normal Tissue
1761,GTEX-117XS-2926-SM-5N9BX,GTEX,10.51,Normal Tissue,Pituitary,GTEX: Normal Tissue
1762,GTEX-QVJO-0011-R7A-SM-2S1QO,GTEX,10.01,Normal Tissue,Brain,GTEX: Normal Tissue
1766,GTEX-QVUS-0011-R10A-SM-3GIK3,GTEX,9.335,Normal Tissue,Brain,GTEX: Normal Tissue
1767,GTEX-Y5V5-1826-SM-4VDS5,GTEX,10.97,Normal Tissue,Small Intestine,GTEX: Normal Tissue
1768,GTEX-13OVJ-0826-SM-5J1OK,GTEX,12.98,Normal Tissue,Skin,GTEX: Normal Tissue
1773,GTEX-13112-0326-SM-5P9IW,GTEX,13.19,Normal Tissue,Thyroid,GTEX: Normal Tissue
1776,GTEX-1399S-0826-SM-5KM23,GTEX,13.09,Normal Tissue,Heart,GTEX: Normal Tissue
1778,GTEX-14DAR-0326-SM-5S2PS,GTEX,9.241,Normal Tissue,Spleen,GTEX: Normal Tissue
1783,GTEX-ZYT6-1626-SM-5E45R,GTEX,10.99,Normal Tissue,Muscle,GTEX: Normal Tissue
1787,GTEX-REY6-1726-SM-48FDL,GTEX,8.988,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
1790,GTEX-14E6D-0926-SM-5S2QV,GTEX,11.14,Normal Tissue,Heart,GTEX: Normal Tissue
1791,GTEX-11TT1-0926-SM-5GU5M,GTEX,11.03,Normal Tissue,Colon,GTEX: Normal Tissue
1792,GTEX-Y114-1726-SM-4TT7U,GTEX,11.22,Normal Tissue,Ovary,GTEX: Normal Tissue
1797,GTEX-T5JW-1426-SM-4DM5Q,GTEX,11.47,Normal Tissue,Esophagus,GTEX: Normal Tissue
1799,GTEX-Z93T-0426-SM-5HL6G,GTEX,12.01,Normal Tissue,Artery,GTEX: Normal Tissue
1802,GTEX-13X6K-1826-SM-5O9CR,GTEX,11.79,Normal Tissue,Heart,GTEX: Normal Tissue
1803,GTEX-13VXT-0626-SM-5SIA1,GTEX,12.58,Normal Tissue,Thyroid,GTEX: Normal Tissue
1804,GTEX-XUZC-0008-SM-4BOQG,GTEX,11.83,Cell Line,Cells,GTEX: Cell Line
1806,GTEX-TSE9-2826-SM-4DXTF,GTEX,11.64,Normal Tissue,Cervix,GTEX: Normal Tissue
1809,GTEX-11EQ8-2626-SM-5N9BO,GTEX,11.86,Normal Tissue,Colon,GTEX: Normal Tissue
1810,GTEX-13OW6-3026-SM-5J2MI,GTEX,9.626,Normal Tissue,Brain,GTEX: Normal Tissue
1811,GTEX-XMK1-1126-SM-4IHJ8,GTEX,9.489,Normal Tissue,Breast,GTEX: Normal Tissue
1813,GTEX-W5X1-2226-SM-5CHTP,GTEX,0.0,Normal Tissue,Vagina,GTEX: Normal Tissue
1816,GTEX-Y114-0008-SM-4TT8X,GTEX,11.52,Cell Line,Cells,GTEX: Cell Line
1817,GTEX-T8EM-0826-SM-4DM76,GTEX,12.04,Normal Tissue,Pancreas,GTEX: Normal Tissue
1819,GTEX-12ZZY-2726-SM-5EQ45,GTEX,11.52,Normal Tissue,Colon,GTEX: Normal Tissue
1820,GTEX-131YS-2826-SM-5EQ47,GTEX,12.94,Normal Tissue,Skin,GTEX: Normal Tissue
1822,GTEX-132NY-0326-SM-5IJBL,GTEX,13.45,Normal Tissue,Skin,GTEX: Normal Tissue
1823,GTEX-ZVE1-0526-SM-5NQ71,GTEX,11.34,Normal Tissue,Muscle,GTEX: Normal Tissue
1825,GTEX-11TUW-0626-SM-5LU9M,GTEX,12.85,Normal Tissue,Skin,GTEX: Normal Tissue
1828,GTEX-VJYA-0226-SM-4KL1Q,GTEX,12.49,Normal Tissue,Artery,GTEX: Normal Tissue
1834,GTEX-13NYB-2726-SM-5J2MT,GTEX,11.18,Normal Tissue,Muscle,GTEX: Normal Tissue
1836,GTEX-WEY5-0526-SM-3GIKZ,GTEX,12.25,Normal Tissue,Thyroid,GTEX: Normal Tissue
1839,GTEX-11DXZ-0326-SM-5EGH1,GTEX,12.9,Normal Tissue,Heart,GTEX: Normal Tissue
1841,GTEX-13PVQ-2726-SM-5L3H7,GTEX,11.81,Normal Tissue,Colon,GTEX: Normal Tissue
1845,GTEX-WL46-0011-R7A-SM-3LK7X,GTEX,9.108,Normal Tissue,Brain,GTEX: Normal Tissue
1849,GTEX-11GSP-0006-SM-5N9EL,GTEX,8.526,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1852,GTEX-ZTTD-0326-SM-57WFW,GTEX,9.13,Normal Tissue,Muscle,GTEX: Normal Tissue
1853,GTEX-ZF28-3026-SM-4WKHP,GTEX,9.85,Normal Tissue,Brain,GTEX: Normal Tissue
1855,GTEX-146FR-0426-SM-5SI97,GTEX,13.08,Normal Tissue,Esophagus,GTEX: Normal Tissue
1857,GTEX-12WSM-0008-SM-5S2VD,GTEX,11.61,Cell Line,Cells,GTEX: Cell Line
1858,GTEX-14BIL-0226-SM-5SI9E,GTEX,10.31,Normal Tissue,Adipose,GTEX: Normal Tissue
1863,GTEX-14DAR-0006-SM-5N9GC,GTEX,7.045,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1866,GTEX-ZPU1-0426-SM-4WWCA,GTEX,12.76,Normal Tissue,Thyroid,GTEX: Normal Tissue
1869,GTEX-ZVE2-1326-SM-5NQ94,GTEX,13.49,Normal Tissue,Esophagus,GTEX: Normal Tissue
1872,GTEX-13OW6-2526-SM-5IJEC,GTEX,11.66,Normal Tissue,Stomach,GTEX: Normal Tissue
1876,GTEX-PLZ5-0426-SM-3P612,GTEX,12.99,Normal Tissue,Artery,GTEX: Normal Tissue
1877,GTEX-R55C-1626-SM-48FEG,GTEX,9.995,Normal Tissue,Adipose,GTEX: Normal Tissue
1880,GTEX-P78B-1626-SM-2S1O1,GTEX,9.569,Normal Tissue,Muscle,GTEX: Normal Tissue
1886,GTEX-13FTZ-0011-R10b-SM-5KLZS,GTEX,9.352,Normal Tissue,Brain,GTEX: Normal Tissue
1892,GTEX-13QBU-0226-SM-5LU48,GTEX,11.72,Normal Tissue,Heart,GTEX: Normal Tissue
1893,GTEX-PX3G-1426-SM-48U1J,GTEX,12.56,Normal Tissue,Colon,GTEX: Normal Tissue
1897,GTEX-NPJ8-0426-SM-2HMK6,GTEX,12.27,Normal Tissue,Heart,GTEX: Normal Tissue
1898,GTEX-S7SE-0826-SM-4AT4D,GTEX,10.22,Normal Tissue,Breast,GTEX: Normal Tissue
1900,GTEX-12WSE-0826-SM-5S2VL,GTEX,11.64,Normal Tissue,Lung,GTEX: Normal Tissue
1901,GTEX-XUJ4-1826-SM-4BOOU,GTEX,13.64,Normal Tissue,Skin,GTEX: Normal Tissue
1902,GTEX-XPVG-2526-SM-4B66D,GTEX,10.28,Normal Tissue,Muscle,GTEX: Normal Tissue
1904,GTEX-11ZVC-0011-R9a-SM-57WC5,GTEX,9.51,Normal Tissue,Brain,GTEX: Normal Tissue
1906,GTEX-XYKS-2626-SM-4BRUT,GTEX,11.96,Normal Tissue,Artery,GTEX: Normal Tissue
1908,GTEX-UJHI-1626-SM-3DB9A,GTEX,10.58,Normal Tissue,Adipose,GTEX: Normal Tissue
1909,GTEX-XPVG-1726-SM-4B65W,GTEX,10.97,Normal Tissue,Small Intestine,GTEX: Normal Tissue
1910,GTEX-13X6I-0526-SM-5QGP8,GTEX,10.99,Normal Tissue,Muscle,GTEX: Normal Tissue
1913,GTEX-ZYFC-1826-SM-5GZZA,GTEX,9.793,Normal Tissue,Adipose,GTEX: Normal Tissue
1915,GTEX-WFON-1426-SM-5CHT1,GTEX,0.0,Normal Tissue,Colon,GTEX: Normal Tissue
1916,GTEX-UPIC-0002-SM-3NMDC,GTEX,8.936,Cell Line,Cells,GTEX: Cell Line
1917,GTEX-RTLS-0626-SM-5SI7Z,GTEX,12.53,Normal Tissue,Thyroid,GTEX: Normal Tissue
1918,GTEX-WHSB-0326-SM-5GICB,GTEX,12.3,Normal Tissue,Lung,GTEX: Normal Tissue
1923,GTEX-QEG4-1826-SM-4R1JN,GTEX,12.98,Normal Tissue,Liver,GTEX: Normal Tissue
1925,GTEX-11O72-2226-SM-5PNW2,GTEX,11.65,Normal Tissue,Colon,GTEX: Normal Tissue
1939,GTEX-1445S-0626-SM-5LU3C,GTEX,10.96,Normal Tissue,Muscle,GTEX: Normal Tissue
1940,GTEX-NPJ8-1526-SM-26GMH,GTEX,10.31,Normal Tissue,Brain,GTEX: Normal Tissue
1941,GTEX-WRHK-1026-SM-4MVOD,GTEX,11.75,Normal Tissue,Small Intestine,GTEX: Normal Tissue
1945,GTEX-132Q8-3026-SM-5PNVG,GTEX,10.95,Normal Tissue,Brain,GTEX: Normal Tissue
1947,GTEX-131XF-1826-SM-5EGKG,GTEX,12.82,Normal Tissue,Thyroid,GTEX: Normal Tissue
1949,GTEX-117XS-2226-SM-5GIE1,GTEX,11.63,Normal Tissue,Colon,GTEX: Normal Tissue
1952,GTEX-117XS-1926-SM-5GICO,GTEX,9.304,Normal Tissue,Breast,GTEX: Normal Tissue
1953,GTEX-12WSF-0011-R6b-SM-5HL8W,GTEX,10.3,Normal Tissue,Brain,GTEX: Normal Tissue
1957,GTEX-1128S-1626-SM-5H12O,GTEX,12.37,Normal Tissue,Colon,GTEX: Normal Tissue
1961,GTEX-PVOW-1626-SM-48TC9,GTEX,13.67,Normal Tissue,Esophagus,GTEX: Normal Tissue
1963,GTEX-13QBU-2526-SM-5LU4X,GTEX,10.2,Normal Tissue,Adipose,GTEX: Normal Tissue
1964,GTEX-133LE-1826-SM-5J1MV,GTEX,13.51,Normal Tissue,Skin,GTEX: Normal Tissue
1966,GTEX-ZT9X-1426-SM-5DUX1,GTEX,11.37,Normal Tissue,Testis,GTEX: Normal Tissue
1970,GTEX-ZYWO-2726-SM-5NQ6N,GTEX,12.84,Normal Tissue,Nerve,GTEX: Normal Tissue
1974,GTEX-SUCS-0226-SM-32PLQ,GTEX,13.01,Normal Tissue,Thyroid,GTEX: Normal Tissue
1977,GTEX-WH7G-2226-SM-3NMBN,GTEX,10.68,Normal Tissue,Adipose,GTEX: Normal Tissue
1981,GTEX-12WSJ-1826-SM-5GCNY,GTEX,13.87,Normal Tissue,Skin,GTEX: Normal Tissue
1982,GTEX-RWS6-1026-SM-47JXD,GTEX,11.82,Normal Tissue,Ovary,GTEX: Normal Tissue
1986,GTEX-1192W-0826-SM-5EGHE,GTEX,11.74,Normal Tissue,Esophagus,GTEX: Normal Tissue
1988,GTEX-T2IS-1926-SM-4DM74,GTEX,12.9,Normal Tissue,Vagina,GTEX: Normal Tissue
1989,GTEX-ZP4G-1226-SM-4WWCJ,GTEX,12.52,Normal Tissue,Stomach,GTEX: Normal Tissue
1993,GTEX-XMD1-0008-SM-4AT41,GTEX,11.27,Cell Line,Cells,GTEX: Cell Line
1998,GTEX-WCDI-0008-SM-47JYE,GTEX,11.43,Cell Line,Cells,GTEX: Cell Line
2000,GTEX-QLQ7-1726-SM-2S1QQ,GTEX,10.6,Normal Tissue,Muscle,GTEX: Normal Tissue
2001,GTEX-ZLWG-2226-SM-5DUWO,GTEX,10.3,Normal Tissue,Adipose,GTEX: Normal Tissue
2007,GTEX-1212Z-2426-SM-5EQ5D,GTEX,11.07,Normal Tissue,Adipose,GTEX: Normal Tissue
2011,GTEX-P4PQ-1726-SM-3NB15,GTEX,12.74,Normal Tissue,Nerve,GTEX: Normal Tissue
2012,GTEX-132QS-0526-SM-5IJC7,GTEX,12.43,Normal Tissue,Heart,GTEX: Normal Tissue
2013,GTEX-132AR-2026-SM-5IJG4,GTEX,12.44,Normal Tissue,Heart,GTEX: Normal Tissue
2015,GTEX-WYJK-2526-SM-4ONDF,GTEX,13.05,Normal Tissue,Stomach,GTEX: Normal Tissue
2016,GTEX-13S86-2326-SM-5RQK1,GTEX,10.67,Normal Tissue,Muscle,GTEX: Normal Tissue
2019,GTEX-RNOR-0011-R5A-SM-2TF4J,GTEX,8.425,Normal Tissue,Brain,GTEX: Normal Tissue
2021,GTEX-Y111-0006-SM-4SOIO,GTEX,9.561,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2022,GTEX-11DXX-1426-SM-5GIDU,GTEX,11.6,Normal Tissue,Ovary,GTEX: Normal Tissue
2023,GTEX-145MO-1426-SM-5Q5BS,GTEX,13.09,Normal Tissue,Esophagus,GTEX: Normal Tissue
2029,GTEX-11ZTS-1226-SM-5EQMQ,GTEX,11.52,Normal Tissue,Lung,GTEX: Normal Tissue
2032,GTEX-QMR6-0005-SM-32PKY,GTEX,8.302,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2033,GTEX-X638-0005-SM-47JX6,GTEX,9.869,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2034,GTEX-14753-0626-SM-5Q5CY,GTEX,11.4,Normal Tissue,Testis,GTEX: Normal Tissue
2035,GTEX-OXRL-0326-SM-447BG,GTEX,12.28,Normal Tissue,Heart,GTEX: Normal Tissue
2036,GTEX-1314G-0005-SM-5NQ9O,GTEX,8.253,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2037,GTEX-Y8DK-0126-SM-4TT3L,GTEX,13.89,Normal Tissue,Skin,GTEX: Normal Tissue
2038,GTEX-QEL4-0626-SM-3GIJM,GTEX,10.3,Normal Tissue,Muscle,GTEX: Normal Tissue
2039,GTEX-WHPG-1626-SM-4M1ZL,GTEX,10.81,Normal Tissue,Colon,GTEX: Normal Tissue
2040,GTEX-Y114-0226-SM-4TT8W,GTEX,12.56,Normal Tissue,Heart,GTEX: Normal Tissue
2042,GTEX-S33H-0526-SM-2XCBK,GTEX,11.56,Normal Tissue,Heart,GTEX: Normal Tissue
2043,GTEX-13SLX-0011-R10a-SM-5P9HV,GTEX,8.432,Normal Tissue,Brain,GTEX: Normal Tissue
2045,GTEX-145MI-3126-SM-5Q5CF,GTEX,8.715,Normal Tissue,Brain,GTEX: Normal Tissue
2048,GTEX-TKQ2-0826-SM-33HB6,GTEX,10.47,Normal Tissue,Muscle,GTEX: Normal Tissue
2049,GTEX-13OVJ-0126-SM-5KM36,GTEX,13.05,Normal Tissue,Skin,GTEX: Normal Tissue
2056,GTEX-11P7K-0826-SM-5BC5F,GTEX,10.34,Normal Tissue,Adipose,GTEX: Normal Tissue
2058,GTEX-YFC4-0011-R9a-SM-4SOK4,GTEX,9.218,Normal Tissue,Brain,GTEX: Normal Tissue
2059,GTEX-13IVO-0011-R3b-SM-5IJBJ,GTEX,9.213,Normal Tissue,Brain,GTEX: Normal Tissue
2062,GTEX-1212Z-0006-SM-5NQ8M,GTEX,8.034,Normal Tissue,Whole Blood,GTEX: Normal Tissue
2063,GTEX-QVJO-2526-SM-4R1KB,GTEX,12.52,Normal Tissue,Vagina,GTEX: Normal Tissue
2067,GTEX-13PL7-2626-SM-5IFH4,GTEX,13.43,Normal Tissue,Small Intestine,GTEX: Normal Tissue
2069,GTEX-12WSD-0626-SM-5GCMW,GTEX,13.33,Normal Tissue,Skin,GTEX: Normal Tissue
2072,GTEX-11EQ8-0526-SM-5N9BC,GTEX,10.44,Normal Tissue,Muscle,GTEX: Normal Tissue
2075,GTEX-ZVZP-2726-SM-5GZXZ,GTEX,11.56,Normal Tissue,Artery,GTEX: Normal Tissue
2077,GTEX-13OW7-3026-SM-5L3GY,GTEX,9.74,Normal Tissue,Brain,GTEX: Normal Tissue
2079,GTEX-OXRK-1726-SM-3NB16,GTEX,13.16,Normal Tissue,Colon,GTEX: Normal Tissue
2089,GTEX-13IVO-2926-SM-5L3CZ,GTEX,9.456,Normal Tissue,Brain,GTEX: Normal Tissue
2091,GTEX-11PRG-0326-SM-5GU53,GTEX,11.37,Normal Tissue,Muscle,GTEX: Normal Tissue
2094,GTEX-YFCO-0326-SM-4W1ZP,GTEX,13.11,Normal Tissue,Thyroid,GTEX: Normal Tissue
2096,GTEX-YB5K-0008-SM-4VDT8,GTEX,11.55,Cell Line,Cells,GTEX: Cell Line
